"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 07, 2021","305.68","311.79","313.68","299.30","105.16K","-1.96%"
"Oct 06, 2021","311.79","307.78","317.09","285.27","173.74K","1.30%"
"Oct 05, 2021","307.78","300.75","309.80","296.40","110.96K","2.28%"
"Oct 04, 2021","300.93","310.50","310.87","291.78","136.13K","-3.08%"
"Oct 03, 2021","310.50","313.75","323.23","308.50","121.17K","-1.23%"
"Oct 02, 2021","314.36","302.57","323.46","297.03","151.65K","3.90%"
"Oct 01, 2021","302.57","276.49","303.49","272.26","156.91K","9.43%"
"Sep 30, 2021","276.49","265.20","281.15","263.75","88.04K","4.26%"
"Sep 29, 2021","265.20","260.82","277.39","259.37","106.00K","1.68%"
"Sep 28, 2021","260.82","273.13","277.52","260.02","128.91K","-4.51%"
"Sep 27, 2021","273.13","293.83","308.13","273.10","144.74K","-7.04%"
"Sep 26, 2021","293.83","274.39","300.22","252.38","232.78K","7.08%"
"Sep 25, 2021","274.39","280.79","283.91","268.27","101.05K","-2.27%"
"Sep 24, 2021","280.77","308.91","311.04","262.82","209.92K","-9.09%"
"Sep 23, 2021","308.82","301.79","309.21","294.52","116.64K","2.33%"
"Sep 22, 2021","301.79","270.56","303.04","266.19","187.85K","11.54%"
"Sep 21, 2021","270.56","291.10","306.77","260.67","200.11K","-7.03%"
"Sep 20, 2021","291.01","340.09","340.61","287.81","244.18K","-14.43%"
"Sep 19, 2021","340.09","355.20","357.82","335.59","99.17K","-4.30%"
"Sep 18, 2021","355.38","354.01","368.78","347.01","113.12K","0.40%"
"Sep 17, 2021","353.98","384.04","389.40","350.22","174.40K","-7.83%"
"Sep 16, 2021","384.04","414.91","414.91","371.01","260.26K","-7.75%"
"Sep 15, 2021","416.32","383.67","416.36","376.61","299.13K","8.51%"
"Sep 14, 2021","383.67","330.91","389.69","327.99","320.00K","15.97%"
"Sep 13, 2021","330.83","333.48","337.29","303.69","154.16K","-0.79%"
"Sep 12, 2021","333.48","328.44","348.28","322.20","122.01K","1.53%"
"Sep 11, 2021","328.44","312.10","340.01","310.91","109.64K","5.23%"
"Sep 10, 2021","312.10","330.04","340.11","304.92","168.34K","-5.43%"
"Sep 09, 2021","330.02","330.01","350.32","326.29","162.78K","0.01%"
"Sep 08, 2021","329.98","344.75","353.11","312.71","258.47K","-4.25%"
"Sep 07, 2021","344.63","408.69","409.29","310.60","350.22K","-15.66%"
"Sep 06, 2021","408.60","416.80","424.90","395.89","151.24K","-1.96%"
"Sep 05, 2021","416.79","397.80","425.20","395.08","186.52K","4.77%"
"Sep 04, 2021","397.80","394.90","406.60","390.70","93.60K","0.73%"
"Sep 03, 2021","394.90","399.61","407.89","388.40","133.59K","-1.18%"
"Sep 02, 2021","399.61","413.19","414.99","399.00","108.25K","-3.29%"
"Sep 01, 2021","413.19","392.07","413.89","382.19","243.69K","5.38%"
"Aug 31, 2021","392.08","357.70","396.30","350.70","229.46K","9.61%"
"Aug 30, 2021","357.69","364.09","376.89","347.04","121.93K","-1.77%"
"Aug 29, 2021","364.12","367.09","377.32","355.88","88.77K","-0.81%"
"Aug 28, 2021","367.09","372.61","375.58","362.20","68.58K","-1.48%"
"Aug 27, 2021","372.61","350.15","375.21","344.21","120.77K","6.42%"
"Aug 26, 2021","350.12","384.21","389.10","344.18","121.57K","-8.87%"
"Aug 25, 2021","384.21","378.16","385.94","363.89","108.41K","1.60%"
"Aug 24, 2021","378.16","408.33","413.91","370.52","126.24K","-7.39%"
"Aug 23, 2021","408.31","400.96","415.14","399.45","139.75K","1.84%"
"Aug 22, 2021","400.96","399.84","408.44","386.63","88.07K","0.28%"
"Aug 21, 2021","399.84","409.19","415.39","393.43","145.06K","-2.28%"
"Aug 20, 2021","409.19","405.27","420.72","403.54","155.02K","0.99%"
"Aug 19, 2021","405.18","380.45","405.18","371.25","161.19K","6.49%"
"Aug 18, 2021","380.47","381.24","397.45","361.82","233.09K","-0.20%"
"Aug 17, 2021","381.24","412.94","448.28","380.82","286.39K","-7.68%"
"Aug 16, 2021","412.95","410.27","446.61","408.97","283.25K","0.65%"
"Aug 15, 2021","410.28","414.50","415.95","391.46","134.51K","-1.02%"
"Aug 14, 2021","414.50","427.50","427.88","404.48","112.54K","-3.04%"
"Aug 13, 2021","427.50","392.05","428.00","388.28","156.78K","9.04%"
"Aug 12, 2021","392.05","402.88","417.83","376.23","151.92K","-2.69%"
"Aug 11, 2021","402.88","384.13","419.78","382.84","214.25K","4.86%"
"Aug 10, 2021","384.22","374.34","399.90","368.24","175.51K","2.64%"
"Aug 09, 2021","374.34","360.73","384.60","347.48","148.79K","3.77%"
"Aug 08, 2021","360.73","385.07","389.19","352.15","129.77K","-6.34%"
"Aug 07, 2021","385.16","369.60","398.97","365.37","214.46K","4.31%"
"Aug 06, 2021","369.25","372.78","378.56","358.38","184.32K","-0.95%"
"Aug 05, 2021","372.78","339.01","381.92","337.26","405.92K","9.96%"
"Aug 04, 2021","339.01","308.73","342.75","300.64","174.06K","9.97%"
"Aug 03, 2021","308.28","320.54","323.98","302.35","121.53K","-3.83%"
"Aug 02, 2021","320.55","316.45","328.81","309.63","121.23K","1.28%"
"Aug 01, 2021","316.49","331.12","339.56","314.68","163.78K","-4.33%"
"Jul 31, 2021","330.81","320.47","332.82","313.59","136.27K","3.23%"
"Jul 30, 2021","320.47","311.99","323.68","300.37","187.14K","2.88%"
"Jul 29, 2021","311.50","297.72","315.55","293.12","172.60K","4.63%"
"Jul 28, 2021","297.72","300.18","308.61","292.69","199.09K","-0.82%"
"Jul 27, 2021","300.19","302.53","312.25","284.90","339.84K","-0.85%"
"Jul 26, 2021","302.76","287.96","335.33","285.94","482.00K","5.14%"
"Jul 25, 2021","287.96","285.05","289.41","272.28","148.80K","-1.08%"
"Jul 24, 2021","291.11","289.76","298.98","286.39","205.18K","0.47%"
"Jul 23, 2021","289.76","278.42","292.53","268.91","230.79K","4.07%"
"Jul 22, 2021","278.42","259.07","280.28","256.81","238.67K","7.48%"
"Jul 21, 2021","259.05","223.25","262.54","217.42","265.10K","16.03%"
"Jul 20, 2021","223.25","238.24","242.12","212.94","205.38K","-6.28%"
"Jul 19, 2021","238.22","253.69","255.48","233.31","160.44K","-6.27%"
"Jul 18, 2021","254.14","252.69","267.64","250.94","115.84K","0.58%"
"Jul 17, 2021","252.69","253.14","258.01","246.67","144.45K","-0.39%"
"Jul 16, 2021","253.67","271.85","279.58","252.80","171.59K","-6.68%"
"Jul 15, 2021","271.85","279.42","287.74","265.68","264.21K","-2.71%"
"Jul 14, 2021","279.42","271.19","285.26","252.58","321.45K","3.03%"
"Jul 13, 2021","271.19","297.10","297.51","267.79","208.84K","-8.72%"
"Jul 12, 2021","297.10","304.49","321.70","291.59","263.42K","-2.43%"
"Jul 11, 2021","304.49","294.58","310.02","287.06","183.16K","3.36%"
"Jul 10, 2021","294.58","303.23","311.52","288.58","193.42K","-2.85%"
"Jul 09, 2021","303.23","293.12","314.31","277.15","438.40K","3.45%"
"Jul 08, 2021","293.12","314.94","315.29","276.52","569.46K","-6.93%"
"Jul 07, 2021","314.94","316.34","331.33","310.64","323.26K","-0.57%"
"Jul 06, 2021","316.74","307.92","346.72","307.91","727.32K","2.63%"
"Jul 05, 2021","308.63","277.09","317.27","262.30","629.44K","11.38%"
"Jul 04, 2021","277.09","261.15","288.93","261.10","306.73K","6.11%"
"Jul 03, 2021","261.15","234.23","265.42","228.28","287.84K","11.49%"
"Jul 02, 2021","234.23","230.82","234.56","215.90","197.94K","1.48%"
"Jul 01, 2021","230.82","250.72","251.99","227.77","253.28K","-7.87%"
"Jun 30, 2021","250.53","236.61","252.36","220.09","16.96K","5.88%"
"Jun 29, 2021","236.61","226.52","252.84","226.43","18.34K","4.45%"
"Jun 28, 2021","226.52","203.04","232.82","200.55","15.15K","11.56%"
"Jun 27, 2021","203.04","186.96","203.04","183.30","16.45K","8.60%"
"Jun 26, 2021","186.96","187.10","193.33","176.46","15.19K","-0.07%"
"Jun 25, 2021","187.10","211.30","214.73","185.11","19.07K","-11.45%"
"Jun 24, 2021","211.30","207.88","217.83","193.19","18.89K","1.65%"
"Jun 23, 2021","207.88","205.90","229.31","197.42","33.82K","0.96%"
"Jun 22, 2021","205.90","212.27","222.72","170.40","60.49K","-3.53%"
"Jun 21, 2021","213.44","272.80","275.43","206.36","37.71K","-21.77%"
"Jun 20, 2021","272.85","254.75","277.06","242.28","17.48K","7.11%"
"Jun 19, 2021","254.75","265.03","269.76","254.67","9.90K","-3.62%"
"Jun 18, 2021","264.31","293.31","293.60","253.13","14.70K","-9.85%"
"Jun 17, 2021","293.18","290.41","305.22","285.36","9.50K","0.95%"
"Jun 16, 2021","290.41","311.91","313.71","287.37","10.89K","-7.07%"
"Jun 15, 2021","312.49","318.16","327.18","307.87","11.80K","-1.78%"
"Jun 14, 2021","318.16","316.37","335.18","309.06","20.61K","0.57%"
"Jun 13, 2021","316.37","278.24","317.94","266.71","15.81K","13.70%"
"Jun 12, 2021","278.24","285.20","289.27","266.20","18.26K","-2.44%"
"Jun 11, 2021","285.20","310.08","314.90","280.66","16.14K","-8.02%"
"Jun 10, 2021","310.08","338.47","339.56","304.78","14.24K","-8.39%"
"Jun 09, 2021","338.47","330.12","342.22","306.23","23.45K","2.53%"
"Jun 08, 2021","330.12","334.78","338.99","297.16","25.96K","-1.43%"
"Jun 07, 2021","334.92","365.29","387.56","331.97","21.86K","-8.31%"
"Jun 06, 2021","365.29","356.64","368.31","354.65","9.15K","2.43%"
"Jun 05, 2021","356.64","372.98","391.40","347.69","21.45K","-4.38%"
"Jun 04, 2021","372.98","398.54","398.79","346.70","25.46K","-6.14%"
"Jun 03, 2021","397.38","384.14","408.81","376.20","23.98K","3.45%"
"Jun 02, 2021","384.14","372.55","401.45","362.24","26.33K","3.11%"
"Jun 01, 2021","372.55","383.00","391.90","361.37","39.09K","-2.73%"
"May 31, 2021","383.00","325.00","385.16","304.89","46.96K","17.85%"
"May 30, 2021","325.00","297.50","338.75","282.51","25.84K","9.24%"
"May 29, 2021","297.50","319.94","335.20","280.67","29.67K","-7.01%"
"May 28, 2021","319.94","369.85","376.20","304.52","49.57K","-13.49%"
"May 27, 2021","369.85","414.19","414.60","366.04","41.55K","-10.71%"
"May 26, 2021","414.19","370.41","414.91","358.99","54.93K","11.82%"
"May 25, 2021","370.41","385.15","402.35","322.46","48.03K","-3.83%"
"May 24, 2021","385.15","293.58","396.97","288.77","45.99K","31.19%"
"May 23, 2021","293.58","334.94","350.37","209.04","68.46K","-12.35%"
"May 22, 2021","334.94","372.91","381.25","311.00","42.95K","-10.18%"
"May 21, 2021","372.91","468.43","493.38","310.45","72.36K","-20.39%"
"May 20, 2021","468.43","410.61","508.20","355.40","63.81K","12.41%"
"May 19, 2021","416.72","629.38","648.51","349.67","94.53K","-33.79%"
"May 18, 2021","629.38","572.86","665.18","564.85","52.89K","9.87%"
"May 17, 2021","572.86","526.46","592.52","472.19","52.61K","8.81%"
"May 16, 2021","526.46","515.45","561.26","478.98","27.90K","2.14%"
"May 15, 2021","515.45","594.95","609.67","509.59","34.71K","-13.39%"
"May 14, 2021","595.17","508.54","631.10","506.71","63.38K","16.93%"
"May 13, 2021","508.98","498.40","620.25","455.51","100.74K","2.12%"
"May 12, 2021","498.40","457.22","595.60","456.28","110.73K","9.01%"
"May 11, 2021","457.22","433.50","458.34","418.85","22.67K","5.47%"
"May 10, 2021","433.50","459.62","481.55","401.92","19.93K","-5.68%"
"May 09, 2021","459.62","466.98","468.78","441.22","9.43K","-1.38%"
"May 08, 2021","466.03","445.32","475.52","440.78","8.91K","4.65%"
"May 07, 2021","445.32","452.82","467.33","432.98","10.49K","-1.66%"
"May 06, 2021","452.82","480.67","482.03","441.58","12.69K","-5.79%"
"May 05, 2021","480.67","454.82","484.95","440.05","16.19K","6.33%"
"May 04, 2021","452.04","518.03","519.93","452.04","29.71K","-12.74%"
"May 03, 2021","518.03","482.57","534.91","481.08","26.26K","7.35%"
"May 02, 2021","482.57","504.58","508.09","473.80","18.64K","-4.53%"
"May 01, 2021","505.46","444.49","512.06","436.44","35.46K","13.72%"
"Apr 30, 2021","444.49","438.83","454.40","429.84","20.34K","1.29%"
"Apr 29, 2021","438.83","460.59","462.83","424.30","20.78K","-4.73%"
"Apr 28, 2021","460.64","440.48","485.98","424.22","39.21K","4.58%"
"Apr 27, 2021","440.48","405.03","449.84","394.26","32.27K","8.75%"
"Apr 26, 2021","405.03","348.47","408.17","345.88","33.72K","16.23%"
"Apr 25, 2021","348.47","317.82","353.56","314.31","16.33K","9.64%"
"Apr 24, 2021","317.82","343.52","344.03","314.92","11.29K","-7.48%"
"Apr 23, 2021","343.52","360.05","371.87","310.63","26.95K","-4.59%"
"Apr 22, 2021","360.05","351.11","413.35","343.93","28.41K","2.55%"
"Apr 21, 2021","351.11","360.49","384.22","341.65","14.44K","-2.60%"
"Apr 20, 2021","360.49","344.06","371.06","314.36","18.78K","4.78%"
"Apr 19, 2021","344.06","381.63","397.62","341.99","13.27K","-9.84%"
"Apr 18, 2021","381.63","425.29","428.55","285.79","32.41K","-10.45%"
"Apr 17, 2021","426.17","441.30","461.57","419.86","7.14K","-3.43%"
"Apr 16, 2021","441.30","466.11","469.74","420.81","13.88K","-5.35%"
"Apr 15, 2021","466.24","428.87","487.87","423.83","21.90K","8.71%"
"Apr 14, 2021","428.87","399.51","430.30","387.26","14.31K","7.35%"
"Apr 13, 2021","399.51","397.67","420.42","385.09","13.52K","0.52%"
"Apr 12, 2021","397.46","371.84","417.33","366.26","18.11K","6.89%"
"Apr 11, 2021","371.84","367.36","372.97","360.69","4.41K","1.22%"
"Apr 10, 2021","367.36","358.95","375.17","356.33","6.86K","2.34%"
"Apr 09, 2021","358.95","370.87","373.91","357.07","4.29K","-3.27%"
"Apr 08, 2021","371.08","348.72","371.13","346.69","6.34K","6.41%"
"Apr 07, 2021","348.72","383.33","387.00","341.09","12.01K","-9.03%"
"Apr 06, 2021","383.33","397.98","413.93","380.04","8.37K","-3.68%"
"Apr 05, 2021","397.98","403.42","408.27","383.66","5.89K","-1.35%"
"Apr 04, 2021","403.42","379.78","411.21","373.33","6.20K","6.22%"
"Apr 03, 2021","379.78","420.10","425.26","377.42","7.62K","-9.60%"
"Apr 02, 2021","420.10","382.07","421.99","377.51","8.09K","9.95%"
"Apr 01, 2021","382.07","382.48","393.08","371.44","6.41K","-0.11%"
"Mar 31, 2021","382.48","377.39","393.20","357.71","8.85K","1.34%"
"Mar 30, 2021","377.42","360.55","382.78","353.46","5.15K","4.68%"
"Mar 29, 2021","360.55","348.24","367.43","344.50","3.84K","3.53%"
"Mar 28, 2021","348.24","351.45","356.65","334.41","4.55K","-0.91%"
"Mar 27, 2021","351.45","358.08","361.78","339.68","3.58K","-1.85%"
"Mar 26, 2021","358.08","325.51","360.31","325.40","6.70K","10.01%"
"Mar 25, 2021","325.51","308.21","332.94","299.39","8.61K","5.39%"
"Mar 24, 2021","308.85","330.40","348.42","296.66","6.41K","-6.62%"
"Mar 23, 2021","330.75","336.28","345.09","326.27","6.14K","-1.64%"
"Mar 22, 2021","336.27","367.51","371.72","333.12","6.04K","-8.50%"
"Mar 21, 2021","367.51","370.08","375.81","360.05","3.71K","-0.67%"
"Mar 20, 2021","370.00","369.00","396.09","367.39","5.36K","0.17%"
"Mar 19, 2021","369.36","363.18","378.87","355.02","3.64K","1.70%"
"Mar 18, 2021","363.18","381.86","383.63","361.67","4.22K","-4.89%"
"Mar 17, 2021","381.86","370.01","382.99","358.30","4.22K","3.20%"
"Mar 16, 2021","370.01","367.48","376.47","350.89","6.17K","0.84%"
"Mar 15, 2021","366.91","379.82","389.62","355.00","9.65K","-3.68%"
"Mar 14, 2021","380.92","413.88","418.01","377.13","10.26K","-7.96%"
"Mar 13, 2021","413.88","374.38","427.88","360.02","13.45K","10.51%"
"Mar 12, 2021","374.53","405.02","408.28","361.50","12.41K","-7.53%"
"Mar 11, 2021","405.02","406.58","414.44","388.78","12.76K","-0.38%"
"Mar 10, 2021","406.58","444.08","457.97","400.43","15.70K","-8.44%"
"Mar 09, 2021","444.08","436.79","448.60","417.18","17.77K","1.67%"
"Mar 08, 2021","436.79","414.20","436.79","392.27","27.46K","5.45%"
"Mar 07, 2021","414.20","388.26","418.91","384.31","28.54K","6.68%"
"Mar 06, 2021","388.26","367.01","390.74","352.33","11.04K","5.68%"
"Mar 05, 2021","367.38","374.14","376.77","340.64","16.88K","-1.81%"
"Mar 04, 2021","374.14","396.26","410.36","366.29","15.07K","-5.58%"
"Mar 03, 2021","396.26","390.62","418.45","383.90","15.87K","1.39%"
"Mar 02, 2021","390.81","385.22","416.91","377.00","30.39K","1.45%"
"Mar 01, 2021","385.22","353.96","388.44","351.16","33.39K","8.99%"
"Feb 28, 2021","353.46","332.73","365.29","301.02","30.73K","6.44%"
"Feb 27, 2021","332.07","323.31","349.79","323.31","19.87K","2.97%"
"Feb 26, 2021","322.49","339.35","352.86","304.22","25.79K","-4.57%"
"Feb 25, 2021","337.92","367.51","388.32","335.37","15.27K","-8.05%"
"Feb 24, 2021","367.51","364.27","405.34","342.02","24.48K","0.89%"
"Feb 23, 2021","364.27","399.49","403.10","286.29","31.37K","-8.82%"
"Feb 22, 2021","399.49","437.24","447.92","357.86","19.92K","-8.63%"
"Feb 21, 2021","437.24","441.48","454.53","425.52","10.98K","-0.96%"
"Feb 20, 2021","441.48","419.53","497.49","408.00","30.93K","5.14%"
"Feb 19, 2021","419.90","441.79","447.83","407.41","12.58K","-4.95%"
"Feb 18, 2021","441.79","450.79","478.52","435.27","8.31K","-2.00%"
"Feb 17, 2021","450.79","432.75","464.43","400.32","11.54K","4.11%"
"Feb 16, 2021","433.00","455.25","478.23","423.33","14.78K","-4.89%"
